n		performance		bandwidth		err
1024		9.78762e-05		0.000783009		0
2048		0.000180688		0.00144551		0
4096		0.000380194		0.00304155		0
8192		0.000707083		0.00565667		0
16384		0.00116231		0.00929847		0
32768		0.00280128		0.0224103		0
65536		0.00530856		0.0424685		0
131072		0.00821836		0.0657469		0
262144		0.0160508		0.128406		0
524288		0.0198553		0.158843		0
1048576		0.025135		0.20108		0
